Пессимистический;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Темп роста ВВП Факт;;;;;;;Вклад Капитала;;;;;;;Вклад Занятости;;;;;;;Вклад Совокупной производительности факторов производства c корректировкой на мультипликативный эффект и коррекцией на разницу между фактом и прогнозом на 2013-2015;;;;;
China;9.500;7.597;6.382;5.325;4.262;5.884;;4.391;3.248;2.594;2.102;1.674;2.403;;0.431;-0.036;-0.166;-0.201;-0.249;-0.163;;4.678;4.386;3.954;3.423;2.837;3.644
Japan;0.820;1.920;1.625;1.290;1.051;1.471;;0.370;0.975;0.993;0.929;0.862;0.940;;-0.152;-0.165;-0.307;-0.417;-0.536;-0.356;;0.602;1.110;0.939;0.778;0.725;0.888
Germany;1.263;1.487;1.048;0.863;1.065;1.116;;0.609;0.894;0.762;0.639;0.578;0.718;;0.274;-0.302;-0.654;-0.791;-0.613;-0.590;;0.380;0.895;0.940;1.016;1.099;0.987
United Kingdom;1.828;2.029;1.879;1.938;2.007;1.963;;0.904;0.338;0.525;0.715;0.770;0.587;;0.331;0.436;0.119;0.027;0.069;0.163;;0.593;1.255;1.235;1.196;1.169;1.214
France;1.207;2.232;1.922;1.869;1.931;1.988;;0.873;0.791;0.828;0.837;0.840;0.824;;0.528;0.361;0.022;-0.024;0.039;0.099;;-0.194;1.080;1.072;1.056;1.052;1.065
Italy;0.236;1.800;1.405;1.386;1.425;1.504;;0.554;0.471;0.622;0.709;0.696;0.624;;0.449;0.077;-0.395;-0.475;-0.438;-0.308;;-0.767;1.251;1.178;1.152;1.168;1.187
India;6.945;6.169;5.888;5.668;5.489;5.803;;3.286;2.476;2.156;2.035;1.992;2.165;;0.943;0.864;0.817;0.685;0.557;0.731;;2.716;2.829;2.915;2.947;2.939;2.908
Canada;2.132;2.360;1.921;1.963;2.142;2.096;;1.465;1.288;1.070;0.957;0.942;1.064;;0.834;0.489;0.117;0.148;0.275;0.257;;-0.166;0.583;0.734;0.859;0.925;0.775
Brazil;2.689;3.277;2.816;2.490;2.359;2.735;;1.216;2.108;1.974;1.754;1.584;1.855;;1.165;0.737;0.393;0.209;0.101;0.360;;0.308;0.432;0.450;0.527;0.675;0.521
Korea, Republic of;4.047;3.281;2.793;2.533;2.499;2.776;;1.769;1.730;1.486;1.259;1.081;1.389;;0.775;0.355;-0.041;-0.242;-0.280;-0.052;;1.503;1.197;1.349;1.517;1.698;1.440
Spain;1.663;1.145;1.271;1.365;1.166;1.237;;1.132;0.269;0.728;0.924;0.756;0.669;;0.746;0.386;-0.038;-0.160;-0.251;-0.016;;-0.215;0.490;0.581;0.600;0.660;0.584
Mexico;2.313;4.729;4.058;3.505;3.114;3.850;;1.561;2.194;2.206;2.070;1.905;2.093;;1.185;1.244;0.838;0.618;0.446;0.786;;-0.434;1.291;1.014;0.818;0.763;0.970
Russian Federation;3.986;3.161;2.557;2.399;2.256;2.592;;0.673;1.619;1.343;1.122;0.974;1.264;;0.495;-0.427;-0.592;-0.383;-0.323;-0.431;;2.818;1.969;1.806;1.659;1.605;1.760
Australia;2.908;2.387;2.082;2.162;2.313;2.236;;2.035;1.486;1.110;0.984;1.003;1.146;;1.137;0.672;0.488;0.508;0.523;0.548;;-0.264;0.229;0.484;0.670;0.788;0.543
World;3.038;3.606;3.322;3.158;3.008;3.273;;1.517;1.551;1.490;1.404;1.308;1.441;;0.301;0.150;0.036;0.003;0.005;0.055;;1.219;1.904;1.796;1.751;1.695;1.777
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Выбранный;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Темп роста ВВП Факт;;;;;;;Вклад Капитала;;;;;;;Вклад Занятости;;;;;;;Вклад Совокупной производительности факторов производства c корректировкой на мультипликативный эффект и коррекцией на разницу между фактом и прогнозом на 2013-2015;;;;;
;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035;;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035;;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035;;2000-2015;2016-2020;2021-2025;2026-2030;2031-2035;2016-2035
United States;1.959;2.300;1.882;1.706;1.689;1.894;;1.152;0.804;0.708;0.571;0.502;0.646;;0.323;0.598;0.282;0.245;0.298;0.356;;0.484;0.898;0.892;0.890;0.889;0.892
China;9.500;7.273;5.942;4.853;3.791;5.457;;4.391;3.084;2.283;1.718;1.256;2.083;;0.431;-0.074;-0.178;-0.201;-0.249;-0.176;;4.678;4.262;3.837;3.335;2.783;3.549
Japan;0.820;1.812;1.377;0.885;0.560;1.157;;0.370;0.895;0.756;0.526;0.372;0.637;;-0.152;-0.192;-0.316;-0.417;-0.536;-0.365;;0.602;1.109;0.937;0.777;0.724;0.886
Germany;1.263;1.383;0.813;0.483;0.605;0.820;;0.609;0.817;0.537;0.259;0.121;0.433;;0.274;-0.328;-0.662;-0.791;-0.613;-0.599;;0.380;0.894;0.939;1.015;1.097;0.986
